11702	17324626
11997	17325862
15793	17324761
23939	17330096
30492	17330796
33818	17333110
39490	17332159
50736	17338719
57816	17340478
70014	17346692
73608	17348611
83084	17352138
89446	17354329
89552	17353998
95267	17354868
101016	17359189
101358	17362223
101487	17362296
102203	17359242
102236	17361910
105343	17359525
105450	17359021
105802	17362568
106926	17360244
109591	17361694
110909	17363815
113343	17364829
113602	17363599
117912	17363377
119671	17363743
126753	17370894
128170	17367817
128484	17367636
131380	17374037
139484	17372420
140214	17378883
140476	17376163
143886	17376756
144094	17378721
146820	17378071
147147	22630328
147508	17378080
147752	17377427
150292	17388640
150948	17389317
152534	17385974
157692	17387913
157783	17389058
162462	17392078
169084	17402422
170363	17407942
170649	17398916
170657	17399090
171676	17403803
172636	17408049
173226	17408399
173965	17398383
174662	17408484
179995	17410311
180605	17408901
180785	17414263
183462	17407944
184164	17409839
184393	17413217
185333	17411105
187008	17413095
189832	17409933
190674	17422500
190743	17421291
193105	17421527
193804	17421324
194143	17422914
195791	17424363
198480	17424297
201776	17433441
202427	17431720
203258	17430939
204178	17434562
205031	17430768
206457	17430513
208399	17430573
208581	17431733
210728	17442895
211897	17443692
212535	17441786
213833	17441829
213937	17444428
214064	17441630
214933	17443474
214995	17442100
216920	17442456
218312	17442813
219784	17444891
219990	17442375
221411	17453819
223829	17453735
223956	17453897
224544	17453608
227255	17455042
227687	17453700
227826	17448536
227914	17455452
229268	17455960
230780	17462743
231934	17463621
232579	17461783
234335	17466161
235600	17467491
235681	17461549
235917	17458220
237494	17462651
237581	17465537
238167	17462409
238514	17458698
238666	17461747
238702	17466333
238709	17467155
238839	17463720
239513	17458217
239638	17458488
239806	17466034
239852	17466112
240472	17469107
240589	17470030
240798	17472921
240843	17472467
240903	17478130
241860	17474248
241932	17473346
243438	17472561
243530	17470194
243860	17469248
244221	17476324
244724	17473945
245008	17473569
245609	17473481
245658	17473624
245736	17471743
246353	17470214
246771	17472225
247542	17471488
247682	17471456
247777	17472582
247795	17469474
248502	17470144
248794	17473378
250163	17383708
250774	17379913
250875	17384040
250905	17382983
250986	17382154
251089	17380137
251387	17380924
251544	17385064
252414	17381385
252539	17380491
252807	17383414
252874	17382792
253150	17382385
253305	17380444
253636	17383835
254523	17384795
254535	17383748
254731	17380645
254809	17381501
255110	17381384
255223	22629733
255377	17380539
255712	17382004
255757	17380010
255843	17380269
255972	17380477
256384	17383544
257456	22624074
257831	17383542
258068	17383691
258224	17382960
258282	17382311
258459	17384114
258753	17384107
258793	17382655
258945	17385296
259116	17379998
